UKPRN,PROVIDER_NAME,ALIAS,FLAT_NAME_NUMBER,BUILDING_NAME_NUMBER,STREET_NAME,LOCALITY,TOWN,POSTCODE,PRIMARY_CONTACT_POSTCODE,WEBSITE_ADDRESS
10008816,NORTHERN SCHOOL OF CONTEMPORARY DANCE,,,98,Chapeltown Road,,Leeds,LS7 4BH,LS7 4BH,www.nscd.ac.uk
10004775,NORWICH UNIVERSITY COLLEGE OF THE ARTS,,,3-7,Redwell Street,,Norwich,NR2 4SN,NR2 4SN,www.nuca.ac.uk
10004797,NOTTINGHAM TRENT UNIVERSITY,,,,BURTON STREET,,NOTTINGHAM,NG1 4BU,NG1 4BU,www.ntu.ac.uk
10007773,OPEN UNIVERSITY(THE),,,,,Walton Hall,Milton Keynes,MK7 6AA,MK7 6AA,www.open.ac.uk
10004930,OXFORD BROOKES UNIVERSITY,,,,Gipsy Lane,Headington,Oxford,OX3 0BP,OX3 0BP,www.brookes.ac.uk
10007856,PRIFYSGOL ABERYSTWYTH,Aberystwyth University,PO Box 2,,,,ABERYSTWYTH,SY23 2AX,SY23 2AX,www.aber.ac.uk
10005337,"QUEEN MARGARET UNIVERSITY, EDINBURGH",,,,QUEEN MARGARET UNIVERSITY DRIVE,,MUSSELBURGH,EH21 6UU,EH21 6UU,www.qmu.ac.uk
10007775,"QUEEN MARY AND WESTFIELD COLLEGE, UNIVERSITY OF LONDON","Queen Mary, University of London",,327,Mile End Road,,London,E1 4NS,E1 4NS,www.qmul.ac.uk
10005389,RAVENSBOURNE LIMITED,Ravensbourne,,6,PENROSE WAY,,LONDON,SE10 0EW,SE10 0EW,www.rave.ac.uk
10007776,ROEHAMPTON UNIVERSITY,,,,Roehampton Lane,,London,SW15 5PJ,SW15 5PU,www.roehampton.ac.uk
10005523,ROSE BRUFORD COLLEGE,,,,Lamorbey Park Burnt Oak Lane,,Sidcup,DA15 9DF,DA15 9DF,www.bruford.ac.uk
10007835,ROYAL ACADEMY OF MUSIC,,,,Marylebone Road,,London,NW1 5HT,NW1 5HT,www.ram.ac.uk
10005545,ROYAL AGRICULTURAL COLLEGE,,,,Stroud Road,,Cirencester,GL7 6JS,GL7 6JS,www.rac.ac.uk
10007777,ROYAL COLLEGE OF ART(THE),,,,Kensington Gore,,London,SW7 2EU,SW7 2EU,www.rca.ac.uk
10007778,ROYAL COLLEGE OF MUSIC,,,,Prince Consort Road,,London,SW7 2BS,SW7 2BS,www.rcm.ac.uk
10005561,ROYAL CONSERVATOIRE OF SCOTLAND,,,100,RENFREW STREET,,GLASGOW,G2 3DB,G2 3DB,www.rcs.ac.uk
10005553,ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE,"Royal Holloway, University of London",,,Egham Hill,,Egham,TW20 0EX,TW20 0EX,www.rhul.ac.uk
10007837,ROYAL NORTHERN COLLEGE OF MUSIC,,,124,Oxford Road,,Manchester,M13 9RD,M13 9RD,www.rncm.ac.uk
10007838,ROYAL WELSH COLLEGE OF MUSIC AND DRAMA LIMITED,,,,North Road,,Cardiff,CF10 3ER,CF10 3ER,www.rwcmd.ac.uk
10007780,SCHOOL OF ORIENTAL AND AFRICAN STUDIES,,,10,Thornhaugh Street,,London,WC1H 0XG,WC1H 0XG,www.soas.ac.uk
10007781,SCHOOL OF PHARMACY UNIVERSITY OF LONDON(THE),,,29-39,Brunswick Square,,London,WC1N 1AX,WC1N 1AX,www.pharmacy.ac.uk
10005790,SHEFFIELD HALLAM UNIVERSITY,,,CITY CAMPUS,POND STREET,,SHEFFIELD,S1 1WB,S1 1WB,www.shu.ac.uk
10006022,SOUTHAMPTON SOLENT UNIVERSITY,,,,East Park Terrace,,Southampton,SO14 0YN,SO14 0YN,www.solent.ac.uk
